district,province,injured,dead,houses_damaged
Shanala,Khyber-Pakhtunkhwa,184,49,"12,775"
Chitral,Khyber-Pakhtunkhwa,200,32,"17,543"
Swat,Khyber-Pakhtunkhwa,253,36,"10,931"
Lower Dir,Khyber-Pakhtunkhwa,248,26,"14,059"
Upper Dir,Khyber-Pakhtunkhwa,162,16,"10,731"
Tor Ghar,Khyber-Pakhtunkhwa,27,18,700
Lower Kohistan,Khyber-Pakhtunkhwa,27,3,"1,486"
Upper Kohistan,Khyber-Pakhtunkhwa,9,13,"1,638"
Buncr,Khyber-Pakhtunkhwa,117,9,"3,600"
Peshawar,Khyber-Pakhtunkhwa,165,9,210
Charsadda,Khyber-Pakhtunkhwa,8,5,110
Mardan,Khyber-Pakhtunkhwa,8,5,0
Nowshcra,Khyber-Pakhtunkhwa,17,2,"1,296"
Malakand,Khyber-Pakhtunkhwa,78,2,"4,280"
Swabi,Khyber-Pakhtunkhwa,6,3,597
Mansehra,Khyber-Pakhtunkhwa,15,2,31
Hangu,Khyber-Pakhtunkhwa,0,1,3
Tank,Khyber-Pakhtunkhwa,1,1,15
Abbottabad,Khyber-Pakhtunkhwa,2,0,512
Battagram,Khyber-Pakhtunkhwa,8,0,650
Lakki Marwat,Khyber-Pakhtunkhwa,0,0,16
Harlpur,Khyber-Pakhtunkhwa,0,0,502
Kohat,Khyber-Pakhtunkhwa,21,0,8
Bannu,Khyber-Pakhtunkhwa,4,0,2
Karak,Khyber-Pakhtunkhwa,0,0,18
D.l. Khan,Khyber-Pakhtunkhwa,1,0,0
Bajaur,FATA,159,23,"8,184"
Orakzai,FATA,3,0,400
Khyber,FATA,20,1,248
Mohmand,FATA,14,5,550
Kurram,FATA,13,1,131
FR Lakki Marwat,FATA,0,0,21
Attock,Punjab,8,0,
Khushab,Punjab,1,0,
Chiniot,Punjab,4,0,
Chakwal,Punjab,0,1,
D.G. Khan,Punjab,0,1,
Gujranwala,Punjab,1,0,
Kasur,Punjab,0,1,
Mianwali,Punjab,4,1,
Multan,Punjab,11,0,
Rawalpindi,Punjab,27,0,
Sargodha,Punjab,21,1,
Sheikhupura,Punjab,1,0,
Hunza,Gilgit-Baltistan,2,1,45
Gilgit,Gilgit-Baltistan,23,1,"1,683"
Astore,Gilgit-Baltistan,0,0,28
Ghanche,Gilgit-Baltistan,0,1,0
Diamer,Gilgit-Baltistan,44,3,926
Ghizer,Gilgit-Baltistan,20,4,395
Nagar,Gilgit-Baltistan,2,0,21
Skardu,Gilgit-Baltistan,1,0,82
Kharmang,Gilgit-Baltistan,0,0,26
Neelum,Azad Jammu & Kashmir,10,1,33
Muzaffarabad,Azad Jammu & Kashmir,5,0,21
Hattian,Azad Jammu & Kashmir,2,0,2
Bagh,Azad Jammu & Kashmir,2,0,17
Havell,Azad Jammu & Kashmir,0,0,1
Rawalakot,Azad Jammu & Kashmir,0,0,1
Sudhnoti,Azad Jammu & Kashmir,1,0,0
Mirpur,Azad Jammu & Kashmir,3,1,0
Total houses damaged,Punjab,,,20
