s_number,date,site,area,site_type,type_of_visitor,number_of_visitors,note
1,2009-01-01,"Lahore Museum, Lahore",Punjab,Museum,National,15071,
2,2009-02-01,"Lahore Museum, Lahore",Punjab,Museum,National,17676,
3,2009-03-01,"Lahore Museum, Lahore",Punjab,Museum,National,15364,
4,2009-04-01,"Lahore Museum, Lahore",Punjab,Museum,National,169727,
5,2009-05-01,"Lahore Museum, Lahore",Punjab,Museum,National,13199,
6,2009-06-01,"Lahore Museum, Lahore",Punjab,Museum,National,12517,
7,2009-07-01,"Lahore Museum, Lahore",Punjab,Museum,National,21532,
8,2009-08-01,"Lahore Museum, Lahore",Punjab,Museum,National,18032,
9,2009-09-01,"Lahore Museum, Lahore",Punjab,Museum,National,12419,
10,2009-10-01,"Lahore Museum, Lahore",Punjab,Museum,National,15281,
11,2009-11-01,"Lahore Museum, Lahore",Punjab,Museum,National,10706,
12,2009-12-01,"Lahore Museum, Lahore",Punjab,Museum,National,11976,
13,2010-01-01,"Lahore Museum, Lahore",Punjab,Museum,National,11542,
14,2010-02-01,"Lahore Museum, Lahore",Punjab,Museum,National,15395,
15,2010-03-01,"Lahore Museum, Lahore",Punjab,Museum,National,17007,
16,2010-04-01,"Lahore Museum, Lahore",Punjab,Museum,National,15893,
17,2010-05-01,"Lahore Museum, Lahore",Punjab,Museum,National,14327,
18,2010-06-01,"Lahore Museum, Lahore",Punjab,Museum,National,19835,
19,2010-07-01,"Lahore Museum, Lahore",Punjab,Museum,National,21856,
20,2010-08-01,"Lahore Museum, Lahore",Punjab,Museum,National,12658,
21,2010-09-01,"Lahore Museum, Lahore",Punjab,Museum,National,16545,
22,2010-10-01,"Lahore Museum, Lahore",Punjab,Museum,National,21933,
23,2010-11-01,"Lahore Museum, Lahore",Punjab,Museum,National,19955,
24,2010-12-01,"Lahore Museum, Lahore",Punjab,Museum,National,18595,
25,2011-01-01,"Lahore Museum, Lahore",Punjab,Museum,National,11767,
26,2011-02-01,"Lahore Museum, Lahore",Punjab,Museum,National,14314,
27,2011-03-01,"Lahore Museum, Lahore",Punjab,Museum,National,20211,
28,2011-04-01,"Lahore Museum, Lahore",Punjab,Museum,National,18266,
29,2011-05-01,"Lahore Museum, Lahore",Punjab,Museum,National,11956,
30,2011-06-01,"Lahore Museum, Lahore",Punjab,Museum,National,18896,
31,2011-07-01,"Lahore Museum, Lahore",Punjab,Museum,National,33025,
32,2011-08-01,"Lahore Museum, Lahore",Punjab,Museum,National,5174,
33,2011-09-01,"Lahore Museum, Lahore",Punjab,Museum,National,19068,
34,2011-10-01,"Lahore Museum, Lahore",Punjab,Museum,National,12919,
35,2011-11-01,"Lahore Museum, Lahore",Punjab,Museum,National,21971,
36,2011-12-01,"Lahore Museum, Lahore",Punjab,Museum,National,21789,
37,2012-01-01,"Lahore Museum, Lahore",Punjab,Museum,National,16915,
38,2012-02-01,"Lahore Museum, Lahore",Punjab,Museum,National,15067,
39,2012-03-01,"Lahore Museum, Lahore",Punjab,Museum,National,23542,
40,2012-04-01,"Lahore Museum, Lahore",Punjab,Museum,National,24525,
41,2012-05-01,"Lahore Museum, Lahore",Punjab,Museum,National,16096,
42,2012-06-01,"Lahore Museum, Lahore",Punjab,Museum,National,19285,
43,2012-07-01,"Lahore Museum, Lahore",Punjab,Museum,National,21911,
44,2012-08-01,"Lahore Museum, Lahore",Punjab,Museum,National,20311,
45,2012-09-01,"Lahore Museum, Lahore",Punjab,Museum,National,16571,
46,2012-10-01,"Lahore Museum, Lahore",Punjab,Museum,National,21172,
47,2012-11-01,"Lahore Museum, Lahore",Punjab,Museum,National,23391,
48,2012-12-01,"Lahore Museum, Lahore",Punjab,Museum,National,26353,
49,2013-01-01,"Lahore Museum, Lahore",Punjab,Museum,National,13247,
50,2013-02-01,"Lahore Museum, Lahore",Punjab,Museum,National,18353,
51,2013-03-01,"Lahore Museum, Lahore",Punjab,Museum,National,26474,
52,2013-04-01,"Lahore Museum, Lahore",Punjab,Museum,National,24144,
53,2013-05-01,"Lahore Museum, Lahore",Punjab,Museum,National,12530,
54,2013-06-01,"Lahore Museum, Lahore",Punjab,Museum,National,23644,
55,2013-07-01,"Lahore Museum, Lahore",Punjab,Museum,National,14395,
56,2013-08-01,"Lahore Museum, Lahore",Punjab,Museum,National,30031,
57,2013-09-01,"Lahore Museum, Lahore",Punjab,Museum,National,19923,
58,2013-10-01,"Lahore Museum, Lahore",Punjab,Museum,National,22155,
59,2013-11-01,"Lahore Museum, Lahore",Punjab,Museum,National,34445,
60,2013-12-01,"Lahore Museum, Lahore",Punjab,Museum,National,23846,
61,2014-01-01,"Lahore Museum, Lahore",Punjab,Museum,National,17092,
62,2014-02-01,"Lahore Museum, Lahore",Punjab,Museum,National,20501,
63,2014-03-01,"Lahore Museum, Lahore",Punjab,Museum,National,20737,
64,2014-04-01,"Lahore Museum, Lahore",Punjab,Museum,National,27600,
65,2014-05-01,"Lahore Museum, Lahore",Punjab,Museum,National,17165,
66,2014-06-01,"Lahore Museum, Lahore",Punjab,Museum,National,21310,
67,2014-07-01,"Lahore Museum, Lahore",Punjab,Museum,National,15065,
68,2014-08-01,"Lahore Museum, Lahore",Punjab,Museum,National,23444,
69,2009-01-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,223,
70,2009-02-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,211,
71,2009-03-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,165,
72,2009-04-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,144,
73,2009-05-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,173,
74,2009-06-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,103,
75,2009-07-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,216,
76,2009-08-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,189,
77,2009-09-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,106,
78,2009-10-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,231,
79,2009-11-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,138,
80,2009-12-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,124,
81,2010-01-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,162,
82,2010-02-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,166,
83,2010-03-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,200,
84,2010-04-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,120,
85,2010-05-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,148,
86,2010-06-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,116,
87,2010-07-01,"Lahore Museum, Lahore",Punjab,Museum,Foreigner,173,
